id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
16,Hans in Luck,etiam justo etiam pretium iaculis,Marysa Marusic,2013,Short story,English,Germany,
17,The Teeny Tiny Woman,dui vel,Adrea Schusterl,2000,Short story,English,Germany,eget eleifend luctus ultricies eu nibh quisque id justo
18,The Little Red Hen,justo eu massa donec dapibus,Lucy McIlheran,2000,Short story,English,Germany,
19,The Ugly Duckling,rhoncus dui vel,Margaretta Bert,2011,Novel,English,Germany,eu massa donec dapibus duis at velit eu est
20,The Fisherman and his Wife,suscipit nulla,Brenda Whoolehan,2011,Novel,English,Germany,varius nulla facilisi cras non velit
21,Hansel and Gretel,varius integer ac,Annabella Scroggie,1991,Novel,English,Germany,
22,Rapunzel,vel augue vestibulum,Mari Scott,2004,Short story,English,Germany,
23,Snow White,sed lacus morbi sem mauris laoreet,Selie Upsale,1987,Short story,English,Germany,amet turpis elementum ligula vehicula consequat morbi a ipsum integer a
24,Trickster Tales,ullamcorper augue a suscipit nulla elit,Manon Bonham,2001,Novel,English,Germany,
25,Cinderella,accumsan odio,Freda McGrotty,2006,Short story,English,Germany,luctus et ultrices posuere cubilia
26,Snow White,convallis morbi odio odio elementum,Eugene Trayford,2007,Novel,English,Germany,
27,The Teeny Tiny Woman,mus etiam vel,Granville Jewsbury,1999,Novel,English,Germany,accumsan felis ut at dolor quis odio consequat varius integer ac leo
28,Puss in Boots,ante ipsum primis in faucibus orci,Thaddus Ping,2001,Novel,English,Germany,varius integer ac leo pellentesque ultrices
29,Henny Penny,est et,Trace Grogor,2001,Short story,English,Germany,justo maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet
30,Stone Soup,non quam nec dui luctus rutrum,Rooney Chesnay,2003,Short story,English,Germany,accumsan felis ut at dolor quis
31,Henny Penny,id ligula suspendisse ornare,Wakefield Barthelmes,2001,Novel,English,Germany,nullam porttitor lacus at turpis donec posuere metus
32,The Little Red Hen,vitae mattis nibh ligula nec,Clemens Swait,2005,Novel,English,Germany,tortor risus dapibus augue vel accumsan tellus
33,The Grasshopper and the Ants,volutpat eleifend,Kalil Cramp,1990,Short story,English,Germany,pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate
34,The Fisherman and his Wife,quam pharetra magna ac consequat,Chilton Wassell,2002,Short story,English,Germany,
35,Aesops Fables,a ipsum,Lon McTeague,1996,Novel,English,Germany,
36,The Bremen Town Musicians,donec vitae nisi nam ultrices,Rudolph Sleight,1994,Short story,English,Germany,vestibulum sit amet cursus id turpis integer aliquet massa
37,Chicken Little,nulla facilisi cras non velit,Yvette Doldon,1994,Short story,English,Germany,ut tellus nulla ut erat
38,Rapunzel,id mauris vulputate elementum nullam varius,Florinda Bramhill,2008,Short story,English,Germany,ligula suspendisse ornare consequat lectus in
39,Snow White,posuere felis sed lacus,Barr McPeice,2006,Short story,English,Germany,
40,Gingerbread Man,vestibulum ante ipsum primis in,Michele Bowfin,2005,Novel,English,Germany,nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis
41,Henny Penny,turpis enim,Benedikta Farrell,2008,Novel,English,Germany,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec
42,The Fox and the Grapes,at turpis a pede posuere,Stacey Pumfrey,1996,Novel,English,Germany,sem praesent id massa id nisl venenatis lacinia
43,The Fox and the Grapes,mauris non,Garvy Habishaw,2004,Novel,English,Germany,amet sem fusce
44,Little Red Riding Hood,aliquet massa id lobortis,Lurline Leport,2009,Short story,English,Germany,feugiat et eros vestibulum ac est lacinia nisi venenatis tristique
45,Jack and the Beanstalk,adipiscing lorem,Duffie Wildt,1994,Short story,English,Germany,sagittis dui vel nisl duis ac nibh fusce
46,The Bremen Town Musicians,auctor sed tristique in tempus,Belvia Roll,1962,Short story,English,Germany,turpis a pede posuere nonummy integer
47,Ghost Stories,tristique est et tempus semper,Tine Heakins,1995,Novel,English,Germany,sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis
48,Stone Soup,in quis justo,Stesha Bewlay,1987,Short story,English,Germany,in tempus sit amet sem fusce consequat
49,Ghost Stories,nunc commodo placerat praesent blandit nam,Gweneth Beney,1998,Short story,English,Germany,hac habitasse platea
50,Little Red Riding Hood,duis bibendum morbi non,Ange Ryce,1998,Novel,English,Germany,turpis elementum ligula vehicula consequat morbi a ipsum integer a
51,The Grasshopper and the Ants,pede posuere nonummy integer,Tremain Van Giffen,2001,Novel,English,Germany,massa id lobortis convallis tortor risus
52,Goldilocks and the Three Bears,ac lobortis vel,Arturo Thieme,2006,Novel,English,Germany,diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum
53,Puss in Boots,eu orci mauris lacinia sapien,Dimitry Soden,2000,Short story,English,Germany,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
54,Stone Soup,et magnis dis,Bernardine Eastope,1983,Novel,English,Germany,tellus nisi eu orci mauris lacinia sapien quis libero nullam sit
55,Seven Swabians,nulla pede ullamcorper augue a,Ruthi Stoffler,2010,Novel,English,Germany,
56,Brer Rabbit,justo eu massa donec dapibus duis,Dud Cuseick,1998,Novel,English,Germany,
57,Hansel and Gretel,est risus auctor sed,Dory McCrostie,2006,Novel,English,Germany,ultrices mattis odio
58,Seven Swabians,lorem id ligula,Lee De Ambrosi,2012,Short story,English,Germany,
59,Cinderella,sagittis dui,Donni Kencott,1990,Short story,English,Germany,iaculis congue vivamus metus arcu adipiscing molestie hendrerit
60,The Grasshopper and the Ants,ut rhoncus aliquet pulvinar sed,Agosto Regina,2010,Short story,English,Germany,rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis
61,Chicken Little,rhoncus aliquam,Reinald Rathjen,2008,Novel,English,Germany,sed magna at nunc commodo placerat praesent blandit nam nulla
62,Sleeping Beauty,non mattis pulvinar nulla pede,Elisabet Woolstenholmes,1994,Novel,English,Germany,faucibus orci luctus et ultrices posuere
63,Brer Rabbit,amet diam,Waldemar Aggis,1996,Short story,English,Germany,donec pharetra magna vestibulum aliquet ultrices
64,Aesops Fables,morbi non quam,Margy Opdenorth,2002,Novel,English,Germany,
65,Puss in Boots,adipiscing lorem,Ezri Exposito,1993,Novel,English,Germany,vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur
66,Stone Soup,in quis justo maecenas rhoncus,Tressa Slym,2002,Novel,English,Germany,mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum
67,The Fisherman and his Wife,eget congue eget semper rutrum,Walliw O'Connel,2002,Novel,English,Germany,ultrices posuere cubilia
68,Aesops Fables,ut blandit non interdum in,Jessalyn Sweedy,2007,Novel,English,Germany,sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate
69,Hans in Luck,lacus at turpis donec posuere,Rhys Cardoso,1993,Short story,English,Germany,dignissim vestibulum vestibulum ante ipsum primis in
70,The Princess and the Pea,vestibulum ac est lacinia nisi venenatis,Jobyna Challen,2006,Novel,English,Germany,morbi a ipsum integer a nibh in quis justo maecenas
71,Brer Rabbit,metus arcu adipiscing molestie hendrerit,Emylee Somes,2008,Short story,English,Germany,
72,Jack and the Beanstalk,enim leo rhoncus,Abba Ell,1978,Novel,English,Germany,ante vel ipsum
73,Brer Rabbit,sollicitudin ut suscipit a feugiat et,Gabriel Harse,2012,Novel,English,Germany,
74,Seven Swabians,vestibulum ante ipsum primis in faucibus,Olga Steptowe,2001,Short story,English,Germany,
75,Seven Swabians,pede ullamcorper augue a suscipit nulla,Clementine Cream,2009,Novel,English,Germany,leo odio condimentum id luctus nec molestie sed
76,Fractured Fairy Tales,lobortis est phasellus sit amet,Susanna Harbach,2011,Short story,English,Germany,suscipit ligula in
77,Aesops Fables,eleifend donec,Nikki Clapham,1992,Novel,English,Germany,donec diam neque vestibulum eget vulputate ut
78,Snow White,ipsum dolor sit amet consectetuer,Michelle Gauford,2011,Short story,English,Germany,
79,The Teeny Tiny Woman,odio in hac habitasse platea,Munroe Linford,1996,Short story,English,Germany,faucibus orci luctus et ultrices posuere cubilia curae
80,The Town Mouse and the Country Mouse,sem sed sagittis nam congue,Selene Thornber,2005,Novel,English,Germany,bibendum morbi non quam nec dui luctus rutrum nulla
81,Cinderella,in lacus,Yves Deamer,1985,Novel,English,Germany,massa donec dapibus duis at velit eu est congue elementum
82,Henny Penny,blandit nam nulla integer pede,Giffie Beckmann,1995,Novel,English,Germany,enim blandit mi in
83,Henny Penny,amet cursus id,Adrianne Moulin,2011,Novel,English,Germany,vitae ipsum aliquam non mauris
84,Belling the Cat,massa tempor convallis nulla neque libero,Niles Baxill,2002,Novel,English,Germany,pulvinar lobortis est phasellus sit amet erat nulla
85,Chicken Little,vestibulum sed magna,Glenna Skone,1997,Novel,English,United States,tincidunt eu
86,Chicken Little,suspendisse potenti cras in purus eu,Silvester Laroze,1996,Short story,English,United States,ac est lacinia nisi venenatis tristique fusce congue diam id
87,The Princess and the Pea,placerat ante nulla justo,Kayla O' Mara,1998,Short story,English,United States,
88,The Princess and the Pea,est risus auctor sed,Esmeralda Ody,1999,Short story,English,United States,quam pharetra magna ac consequat metus sapien ut nunc vestibulum
89,Gingerbread Man,consectetuer adipiscing,Stanly Bladesmith,2002,Novel,English,United States,
90,Sleeping Beauty,aenean auctor gravida sem,Gerome Symondson,1997,Short story,English,United States,pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis
91,Hans in Luck,non interdum in ante,Nerti Yoell,2010,Novel,English,United States,
92,The Little Red Hen,pretium nisl ut volutpat sapien,Kariotta Beauman,2010,Novel,English,United States,
93,Hansel and Gretel,vivamus metus arcu adipiscing molestie,Bourke Minton,2000,Short story,English,United States,adipiscing elit
94,Fractured Fairy Tales,donec semper,Ainslee Stirrup,2011,Short story,English,United States,etiam vel augue vestibulum rutrum rutrum
95,Rapunzel,potenti nullam porttitor lacus,Alie Kurten,2007,Novel,English,United States,consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id
96,Ghost Stories,at turpis donec posuere metus vitae,Izak Roskruge,2010,Novel,English,United States,in porttitor pede justo eu massa donec
97,Stone Soup,justo lacinia eget tincidunt eget tempus,Cathie Strainge,1994,Short story,English,United States,risus dapibus augue vel accumsan
98,Belling the Cat,faucibus orci luctus et ultrices posuere,Onofredo Gaenor,1998,Novel,English,United States,suspendisse potenti in eleifend quam a odio in hac habitasse platea dictumst
99,Gingerbread Man,sed augue aliquam,Guillemette Grahamslaw,2001,Short story,English,United States,aenean lectus pellentesque eget nunc donec quis
100,The Bremen Town Musicians,donec semper sapien,Manya Gabbetis,2003,Novel,English,United States,interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
101,Hans in Luck,eget vulputate ut ultrices vel,Malvina Yves,2005,Short story,English,United States,purus eu magna
102,Hansel and Gretel,nisi vulputate,Lynelle MacPherson,2003,Novel,English,United States,magna at
103,Rapunzel,vestibulum sagittis,Spence Jirus,1987,Novel,English,United States,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor
104,Tom Thumb,justo maecenas rhoncus aliquam,Arther Moggan,1996,Short story,English,United States,eu mi
105,Fractured Fairy Tales,potenti in,Cecilius Pawden,2008,Short story,English,United States,nulla ultrices
106,Snow White,imperdiet nullam orci pede venenatis non,Hope Sausman,1997,Short story,English,United States,nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium
107,Aesops Fables,blandit mi in porttitor,Othilie Cottier,1992,Novel,English,United States,in hac
108,The Ugly Duckling,consequat morbi a ipsum integer,Yard Ditchburn,2003,Novel,English,United States,elementum pellentesque quisque porta volutpat
109,Trickster Tales,vestibulum aliquet ultrices erat tortor,Justen Sreenan,2003,Short story,English,United Kingdom,a feugiat et eros vestibulum ac est lacinia nisi
110,Puss in Boots,pellentesque at nulla suspendisse potenti cras,Corrie Noar,2010,Novel,English,United Kingdom,duis bibendum felis sed interdum
111,Cinderella,eu massa donec dapibus,Mimi Bernardi,1997,Short story,English,United Kingdom,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
112,The Lion and the Mouse,amet erat nulla tempus vivamus in,Krissie MacClancey,2000,Short story,English,United Kingdom,faucibus accumsan odio curabitur convallis duis consequat dui
113,Stone Soup,ante vivamus tortor duis,Arluene Matthew,2001,Novel,English,United Kingdom,tincidunt eget tempus vel pede morbi porttitor lorem
114,The Ugly Duckling,nulla sed vel,Pamelina Belverstone,1997,Short story,English,United Kingdom,morbi non
115,Puss in Boots,suscipit a feugiat,Nevins Dougherty,2008,Short story,English,United Kingdom,mus vivamus vestibulum sagittis sapien cum
116,Puss in Boots,donec odio justo sollicitudin ut suscipit,Claudianus Yakobowitz,1988,Short story,English,United Kingdom,odio cras mi pede malesuada
117,Belling the Cat,volutpat dui maecenas tristique,Arther Kmieciak,2010,Novel,English,United Kingdom,mollis molestie lorem quisque ut erat
118,The Little Red Hen,in hac habitasse platea dictumst,Cornelle Hamblett,1995,Short story,English,United Kingdom,dui vel nisl duis ac nibh fusce lacus purus aliquet
119,Cinderella,dapibus nulla suscipit,Tate Helwig,1994,Short story,English,United Kingdom,maecenas ut massa quis augue luctus tincidunt
120,The Grasshopper and the Ants,vel lectus in quam,Dori O'Keenan,2009,Short story,English,United Kingdom,accumsan tortor quis turpis sed ante vivamus tortor duis mattis
121,Tom Thumb,est quam pharetra magna,Grannie Hessenthaler,2001,Novel,English,United Kingdom,habitasse platea dictumst aliquam augue quam sollicitudin vitae consectetuer
122,Puss in Boots,nam ultrices libero,Annabel Cream,2004,Novel,English,United Kingdom,et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor
123,The Grasshopper and the Ants,in est risus,Barbee Heinzler,1997,Short story,English,United Kingdom,vivamus vestibulum sagittis sapien cum sociis
124,Cinderella,vel augue vestibulum rutrum,Cristine Andryunin,1993,Novel,English,United Kingdom,
125,Tom Thumb,lacinia erat vestibulum,Sibyl Matej,2004,Short story,English,United Kingdom,rhoncus aliquam lacus morbi quis tortor id nulla
126,Hans in Luck,sapien cum sociis natoque,Cesar Vinau,2009,Novel,English,United Kingdom,sed ante vivamus tortor duis
127,The Little Red Hen,arcu sed augue,Chickie Rehm,2011,Short story,English,United Kingdom,curabitur gravida
128,The Bremen Town Musicians,mi pede malesuada in imperdiet et,Chilton Fance,1998,Short story,English,United Kingdom,aliquam convallis nunc proin at
129,Brer Rabbit,aliquam non mauris,Lethia Dysert,1999,Novel,English,United Kingdom,vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam
130,Hansel and Gretel,pellentesque ultrices mattis odio,Daniele Karus,2009,Novel,English,United Kingdom,
131,Belling the Cat,eget rutrum at lorem integer,Maryanne Josowitz,2004,Short story,English,United Kingdom,in est risus
132,Trickster Tales,libero ut massa volutpat convallis,Corny Joris,1995,Short story,English,United Kingdom,lobortis convallis tortor
133,The Teeny Tiny Woman,quis turpis eget elit sodales,Danice Amsberger,2000,Novel,English,United Kingdom,fringilla rhoncus mauris enim leo rhoncus sed vestibulum
134,Fractured Fairy Tales,nec dui luctus rutrum nulla,Claiborne Nolot,1995,Novel,English,United Kingdom,integer ac neque duis bibendum morbi non quam nec
135,Henny Penny,ante vel ipsum praesent blandit,Nefen Gaitskell,2001,Novel,English,United Kingdom,erat vestibulum sed magna at
136,Hans in Luck,suspendisse ornare consequat lectus in,Iris Charter,1986,Novel,English,United Kingdom,consequat ut nulla sed accumsan felis ut at dolor
137,Little Red Riding Hood,nibh in quis justo,Hillie Ortiga,2002,Short story,English,United Kingdom,erat nulla tempus vivamus in felis eu sapien cursus vestibulum
138,Snow White,pharetra magna vestibulum aliquet,Hildagard Brilleman,2005,Novel,English,United Kingdom,vel accumsan tellus
139,Cinderella,ultrices posuere,Etan Dutchburn,2006,Novel,English,United Kingdom,non interdum
140,Sleeping Beauty,massa donec dapibus,Marcelline Brambell,2006,Novel,English,United Kingdom,mi in porttitor pede
141,Hans in Luck,nisi venenatis tristique,Alphard Grinaway,2001,Novel,English,United Kingdom,nascetur ridiculus mus vivamus
142,Cinderella,lobortis vel,Sayre Pingston,1995,Short story,English,United Kingdom,praesent blandit
143,Stone Soup,massa quis augue luctus,Dotti Bignall,1994,Novel,English,United Kingdom,consectetuer eget rutrum at lorem
144,The Fisherman and his Wife,diam cras pellentesque volutpat,Maribeth Simoncini,1992,Short story,English,United Kingdom,urna ut tellus nulla ut erat id mauris vulputate elementum nullam
145,The Princess and the Pea,morbi vestibulum velit id,Hardy Whate,2013,Short story,English,United Kingdom,maecenas tristique est et tempus semper est quam pharetra magna
146,Little Red Riding Hood,lectus in est risus auctor,Theodore Cannaway,2005,Short story,English,United Kingdom,magna at nunc commodo placerat praesent blandit nam nulla integer pede justo
147,Gingerbread Man,augue a,Tad Sinnatt,1991,Novel,English,United Kingdom,vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis
148,The Ugly Duckling,vestibulum velit id,Elnar Gylle,2007,Short story,English,United Kingdom,rutrum at lorem integer tincidunt ante
149,Hans in Luck,elementum nullam,Chery McGilvary,2001,Novel,English,United Kingdom,quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum
150,Ghost Stories,a nibh in quis,Sashenka Quick,2007,Short story,English,United Kingdom,tincidunt ante vel ipsum praesent blandit lacinia erat
151,Cinderella,leo maecenas pulvinar lobortis est,Milka Roderick,1987,Novel,English,United Kingdom,quam pede lobortis ligula sit amet eleifend
152,The Grasshopper and the Ants,suspendisse potenti cras in purus,Issie Lechelle,2006,Novel,English,United Kingdom,
153,The Fisherman and his Wife,lacinia erat vestibulum sed,Vite Hark,2001,Novel,English,United Kingdom,sapien sapien non mi integer ac neque duis bibendum morbi non quam
154,Henny Penny,sit amet consectetuer adipiscing elit,Aldo Falconar,2009,Short story,English,United Kingdom,nunc rhoncus dui vel sem sed sagittis nam congue risus semper
155,Gingerbread Man,magna ac consequat metus sapien ut,Lillis Lamanby,2000,Novel,English,United Kingdom,integer aliquet massa id lobortis convallis tortor risus
156,Cinderella,pellentesque at nulla suspendisse potenti,Herschel Burroughes,1996,Novel,English,United Kingdom,
157,Goldilocks and the Three Bears,cursus id turpis,Antoinette Bott,1976,Novel,English,United Kingdom,
158,The Fisherman and his Wife,vestibulum proin eu mi,Katusha Paulsson,2007,Novel,English,United Kingdom,id sapien in
159,The Teeny Tiny Woman,eros vestibulum ac est,Rossie Wenham,1994,Novel,English,United Kingdom,eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus
160,Hansel and Gretel,amet consectetuer adipiscing elit proin,Perla Domke,2006,Novel,English,United Kingdom,
161,Aesops Fables,et ultrices posuere cubilia,Bari McPeck,2008,Short story,English,United Kingdom,
162,Tom Thumb,lacinia aenean sit amet justo morbi,Englebert Bett,1992,Novel,English,United Kingdom,quis turpis eget elit sodales scelerisque mauris
163,Rapunzel,cursus vestibulum,Vasili Bangle,1993,Novel,English,United Kingdom,posuere cubilia curae mauris viverra diam vitae quam
164,The Lion and the Mouse,convallis nunc proin at,Romola Paslow,1996,Short story,English,United Kingdom,pretium quis lectus suspendisse potenti in eleifend
165,Ghost Stories,pellentesque viverra pede ac,Hobey Klishin,1988,Novel,English,United Kingdom,
166,Gingerbread Man,integer ac leo pellentesque,Layla Klaesson,1999,Novel,English,United Kingdom,
167,Stone Soup,vel nulla eget eros,Drusy Leith,2006,Novel,English,United Kingdom,cras in purus eu magna vulputate luctus cum sociis natoque
168,Hans in Luck,praesent lectus vestibulum,Remington Auld,1990,Novel,English,United Kingdom,metus aenean fermentum donec ut mauris eget massa
169,Goldilocks and the Three Bears,ac lobortis vel dapibus at,Frederica Lowell,2004,Short story,English,United Kingdom,
170,The Lion and the Mouse,maecenas pulvinar lobortis est phasellus,Allin Lestrange,1992,Short story,English,United Kingdom,ut blandit non interdum in ante vestibulum ante ipsum
171,Stone Soup,praesent id massa id nisl venenatis,Kai Etoile,2003,Short story,English,United Kingdom,potenti in eleifend quam
172,The Bremen Town Musicians,lectus vestibulum quam sapien varius ut,Shamus Everal,2002,Novel,English,United Kingdom,diam id ornare imperdiet sapien
173,Little Red Riding Hood,ante ipsum primis in,Dyana Fishleigh,2006,Novel,English,United Kingdom,primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus
174,Ghost Stories,curae duis faucibus accumsan odio curabitur,Luce Pote,2009,Short story,English,United Kingdom,justo maecenas rhoncus
175,Hansel and Gretel,volutpat eleifend donec ut dolor,Fifi Mille,2001,Novel,English,United Kingdom,
176,Puss in Boots,luctus et ultrices posuere,Finlay Pods,1987,Short story,English,United Kingdom,sociis natoque penatibus et magnis dis parturient
177,Sleeping Beauty,tempus vel pede morbi porttitor lorem,Christian Swanson,2008,Short story,English,United Kingdom,augue aliquam erat
178,Tom Thumb,nulla justo aliquam quis turpis,Blaire Baddiley,2011,Novel,English,United Kingdom,
179,Aesops Fables,lacus purus aliquet at feugiat non,Jayme Wickliffe,1993,Short story,English,United Kingdom,
180,The Town Mouse and the Country Mouse,ante nulla justo,Valida Braybrookes,2004,Novel,English,United Kingdom,non lectus aliquam sit amet diam in magna bibendum
181,Ghost Stories,justo nec,Shae Lening,2007,Novel,English,United Kingdom,commodo vulputate justo in blandit ultrices enim lorem ipsum
182,Aesops Fables,libero rutrum ac lobortis,Tiphani Spreckley,2002,Novel,English,United Kingdom,curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at
183,Stone Soup,suspendisse potenti nullam porttitor,Lorenzo Storrie,2010,Short story,English,United Kingdom,iaculis diam erat fermentum justo nec condimentum neque sapien placerat
184,Rapunzel,mi pede malesuada in,Isidro Ducker,1995,Short story,English,United Kingdom,
185,The Town Mouse and the Country Mouse,lectus pellentesque,Shepherd Le Barr,1993,Novel,English,United Kingdom,volutpat eleifend donec ut dolor morbi vel
186,The Princess and the Pea,ut rhoncus aliquet,Gayel Hartford,2013,Short story,English,United Kingdom,cum sociis natoque penatibus et magnis dis parturient montes
187,The Lion and the Mouse,augue aliquam erat volutpat in congue,Sidoney Adanet,2006,Short story,English,United Kingdom,faucibus cursus urna ut tellus nulla
188,Hansel and Gretel,imperdiet et commodo vulputate justo,Callean Tebbe,2003,Short story,English,United Kingdom,dolor sit amet consectetuer adipiscing
189,Brer Rabbit,in blandit ultrices enim lorem,Cordell Knappe,1986,Novel,English,United Kingdom,pellentesque ultrices phasellus id
190,Ghost Stories,sit amet nunc viverra dapibus,Leslie Etches,2003,Short story,English,United Kingdom,consequat ut nulla sed accumsan felis ut at dolor quis odio consequat
191,Jack and the Beanstalk,duis bibendum morbi non quam,Berny McIleen,1993,Short story,English,United Kingdom,
192,Hansel and Gretel,sed vestibulum,Zia Rookwell,1992,Short story,English,United Kingdom,ridiculus mus etiam vel augue vestibulum rutrum
193,Cinderella,dictumst maecenas ut massa,Mallissa MacInnes,1997,Novel,English,United Kingdom,nulla integer pede justo lacinia eget tincidunt eget tempus vel
194,The Teeny Tiny Woman,lobortis ligula,Kameko Hargreave,2000,Short story,English,United Kingdom,
195,The Fox and the Grapes,ante vivamus,Austen Scattergood,2002,Novel,English,United Kingdom,justo sollicitudin ut suscipit a feugiat et eros
196,Tom Thumb,mauris sit amet eros,Benjamin Matthieson,1994,Short story,English,United Kingdom,nullam molestie
197,The Little Red Hen,nibh in quis justo maecenas rhoncus,Deanna Aphale,2005,Short story,English,United Kingdom,a feugiat et eros vestibulum
198,The Lion and the Mouse,rhoncus sed vestibulum sit amet cursus,Joannes Burren,2002,Short story,English,United Kingdom,
199,Hansel and Gretel,magna at nunc commodo,Hans Toovey,2003,Novel,English,United Kingdom,tincidunt eu felis fusce posuere felis sed
200,The Princess and the Pea,nunc nisl duis bibendum,Nickie Flanigan,1999,Novel,English,United Kingdom,magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient
201,Aesops Fables,odio porttitor id consequat,Jaime Duhig,1992,Novel,English,United Kingdom,
202,The Teeny Tiny Woman,vel augue,Lenore Kahn,2012,Short story,English,United Kingdom,velit donec diam neque vestibulum eget vulputate
203,The Town Mouse and the Country Mouse,volutpat erat quisque erat eros viverra,Max Milligan,1972,Novel,English,United Kingdom,tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum
204,Henny Penny,sed lacus morbi sem,Garner Brimilcombe,2005,Novel,English,United Kingdom,
205,Stone Soup,nam dui,Irv Woodvine,1992,Novel,English,United Kingdom,mauris eget
206,The Bremen Town Musicians,quis orci nullam molestie,Pren Creaven,2010,Novel,English,United Kingdom,luctus et ultrices
207,Ghost Stories,mauris lacinia sapien quis libero nullam,Katalin Mulmuray,1991,Novel,English,United Kingdom,sed magna at nunc commodo placerat praesent blandit nam nulla integer pede
208,Sleeping Beauty,feugiat et eros vestibulum ac,Iver Denkin,2005,Novel,English,United Kingdom,rutrum neque aenean auctor gravida sem praesent
209,Henny Penny,ac nibh fusce lacus purus aliquet,Ronica Bowkley,1993,Short story,English,United Kingdom,integer a nibh in quis justo maecenas rhoncus
210,The Little Red Hen,iaculis congue vivamus metus arcu,Iris Simion,2004,Short story,English,United Kingdom,
211,The Princess and the Pea,ultrices posuere cubilia curae mauris,Joan Yedy,2013,Novel,English,United Kingdom,vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at
212,Tom Thumb,nisi nam ultrices libero non mattis,Aeriela Adamsen,2009,Novel,English,United Kingdom,maecenas leo odio
213,The Bremen Town Musicians,tincidunt lacus,Thorstein Oglesbee,1992,Short story,English,United Kingdom,eros elementum pellentesque quisque porta volutpat erat quisque erat
214,Little Red Riding Hood,est lacinia nisi,Clay Cotterrill,2010,Novel,English,United Kingdom,dolor morbi vel lectus in quam fringilla rhoncus
215,Little Red Riding Hood,metus sapien ut nunc vestibulum,Elvyn Claxton,1966,Short story,English,United Kingdom,
216,Goldilocks and the Three Bears,aliquet at feugiat,Kynthia Brammer,2002,Novel,English,United Kingdom,nullam orci pede venenatis non sodales sed tincidunt eu felis
