id,Tale,Title,Author,Date,Format,Language,FirstPublicationLocation,Notes
61,Tom Thumb,curae nulla dapibus dolor vel est,Kippar Emloch,2001,Short story,English,Austria,quis odio consequat varius integer ac leo pellentesque ultrices mattis
62,Hansel and Gretel,lobortis ligula sit,Lisle Poskitt,2002,Novel,English,Germany,
63,Rapunzel,ut odio cras mi pede,Olympia Askham,2012,Short story,English,Germany,amet consectetuer adipiscing elit proin risus
64,Gingerbread Man,a suscipit nulla elit ac nulla,Deerdre Ayerst,1976,Novel,English,Germany,nullam porttitor lacus at turpis donec posuere metus vitae ipsum aliquam non
65,Rapunzel,neque libero,Art Patriskson,1996,Novel,English,Austria,
66,Snow White,nisl ut volutpat,Ronni Bezemer,1975,Short story,English,Germany,
67,The Grasshopper and the Ants,eu orci,Amalea Kenchington,2012,Short story,English,Netherlands,et magnis dis parturient montes nascetur ridiculus mus etiam
68,The Fisherman and his Wife,vulputate elementum nullam,Valentine Tregona,2003,Novel,English,Germany,ut suscipit a feugiat et eros vestibulum ac est lacinia
69,Ghost Stories,id turpis,Jaimie Axford,2007,Short story,English,Germany,mattis odio donec vitae nisi nam ultrices libero non
70,Cinderella,curabitur convallis duis consequat dui,Querida Carmichael,2009,Short story,English,Germany,orci luctus
71,Chicken Little,orci luctus,Marsha Butterwick,1992,Novel,English,Netherlands,elit proin risus praesent
72,Sleeping Beauty,id pretium,Justinn Ballantyne,1990,Novel,English,Netherlands,quam suspendisse potenti
73,The Lion and the Mouse,erat tortor sollicitudin,Chance Dyhouse,1993,Novel,English,Germany,dapibus at diam nam
74,Hans in Luck,consectetuer adipiscing,Taite Dalton,2010,Novel,English,Germany,enim blandit mi in
75,Hansel and Gretel,tellus nulla ut erat id,Dewitt Wilds,2002,Novel,English,Germany,tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla
76,Ghost Stories,sit amet eros suspendisse accumsan tortor,Cecilius Vakhrushin,1995,Novel,English,Germany,magnis dis parturient montes nascetur ridiculus
77,Henny Penny,sem duis aliquam convallis,Scarlett Wykes,1993,Short story,English,Austria,id consequat in consequat ut nulla sed
78,Hans in Luck,volutpat dui maecenas tristique est,Raffaello Grishakov,1996,Short story,English,Germany,ullamcorper purus sit
79,Tom Thumb,elit sodales scelerisque mauris,Bernice Pinch,1996,Short story,English,Austria,massa id nisl venenatis lacinia aenean sit amet justo morbi ut
80,The Town Mouse and the Country Mouse,sed ante vivamus tortor,Marji Brehaut,1990,Novel,English,Germany,ipsum integer
81,The Little Red Hen,et ultrices posuere cubilia,Arnuad Grinnell,1991,Novel,English,Germany,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis
82,The Grasshopper and the Ants,pulvinar lobortis est,Morly Arnoll,2008,Short story,English,Netherlands,lobortis convallis tortor risus dapibus augue vel accumsan tellus nisi eu
83,Brer Rabbit,a pede,Chet Bartholat,2006,Novel,English,Germany,aliquam convallis nunc proin at turpis
84,Hansel and Gretel,pede lobortis ligula sit amet eleifend,Cam Lunbech,2011,Short story,English,Austria,cursus id turpis integer
85,The Little Red Hen,consequat ut nulla sed accumsan,Myrta Pieroni,2000,Short story,English,Germany,
86,Jack and the Beanstalk,sem duis,Jasen Stonebridge,1995,Novel,English,Germany,
87,Jack and the Beanstalk,natoque penatibus et magnis,Angelika Gail,1987,Novel,English,Germany,sociis natoque penatibus et magnis dis
88,The Ugly Duckling,convallis nunc proin at turpis a,Modestine Winspur,2006,Short story,English,Austria,
89,Chicken Little,malesuada in,Tanitansy Ziehms,2001,Short story,English,Netherlands,hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla
90,The Fisherman and his Wife,elementum nullam varius nulla,Letti Burnside,2004,Short story,English,Germany,cubilia curae duis faucibus accumsan odio curabitur convallis duis
91,The Grasshopper and the Ants,proin leo odio porttitor id,Aveline McTurlough,2013,Short story,English,Germany,congue risus semper porta volutpat quam pede lobortis ligula sit
92,Trickster Tales,urna pretium nisl,Kirby Pannaman,2009,Short story,English,Germany,
93,The Lion and the Mouse,vel ipsum praesent blandit lacinia,Anselma Slader,2007,Short story,English,Germany,
94,Chicken Little,id justo sit amet,Reagen MacGilfoyle,2010,Novel,English,Germany,tristique fusce congue diam id ornare imperdiet sapien urna
95,Puss in Boots,in faucibus,Lilia Antrag,1992,Short story,English,Austria,aliquam quis turpis
96,Jack and the Beanstalk,ante ipsum,Quentin Gloster,2006,Short story,English,Germany,dolor morbi vel lectus in quam fringilla rhoncus
97,The Princess and the Pea,nunc rhoncus dui vel,Renaud Esch,2004,Short story,English,Austria,semper sapien
98,Rapunzel,sit amet turpis elementum ligula,Stanwood Cackett,2009,Novel,English,Germany,ornare imperdiet sapien urna pretium nisl ut volutpat
99,Ghost Stories,semper porta volutpat quam pede,Natalina Terzi,1994,Short story,English,Germany,sapien dignissim vestibulum vestibulum ante ipsum primis
100,Sleeping Beauty,eu nibh,Goddart Unstead,2012,Short story,English,Germany,euismod scelerisque quam turpis adipiscing lorem
101,Cinderella,sit amet nunc viverra dapibus,Mackenzie Beebis,2012,Short story,English,Austria,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo
102,Tom Thumb,rhoncus aliquam,Ulysses Ambrogetti,2004,Novel,English,Germany,
103,The Princess and the Pea,erat vestibulum sed magna at nunc,Markus Fedynski,1995,Short story,English,Austria,ligula nec
104,Chicken Little,eleifend donec ut dolor morbi vel,Cassaundra McGuirk,1992,Novel,English,Austria,posuere cubilia curae mauris
105,Brer Rabbit,etiam pretium iaculis justo,Cecile Salmen,2005,Short story,English,Germany,ac diam cras pellentesque volutpat dui maecenas tristique
106,Brer Rabbit,sem duis aliquam convallis nunc proin,Calv McBeath,1995,Short story,English,Netherlands,
107,Ghost Stories,sem sed,Carr Gaynesford,2011,Short story,English,Germany,sem praesent id massa id nisl venenatis lacinia aenean sit amet justo
108,Tom Thumb,libero non mattis pulvinar nulla pede,Janice Elmar,1993,Short story,English,Germany,varius ut
109,Gingerbread Man,faucibus accumsan,Dionysus Schulze,1993,Novel,English,Germany,in felis donec semper sapien a libero nam dui proin leo
110,The Bremen Town Musicians,id consequat,Hanni Kivelle,2007,Novel,English,Germany,arcu libero rutrum ac lobortis vel dapibus at diam nam tristique
111,Hansel and Gretel,in tempus sit amet sem fusce,Jackie Dirand,2003,Short story,English,Netherlands,quis augue luctus tincidunt nulla mollis molestie lorem
112,Hansel and Gretel,tristique fusce,Reginald Erwin,2002,Novel,English,Austria,in libero ut massa volutpat convallis morbi odio odio
113,Seven Swabians,lacinia nisi venenatis tristique fusce congue,Irv Heliar,1999,Short story,English,Germany,
114,The Little Red Hen,et magnis dis parturient montes nascetur,Kermit Aguirre,2007,Novel,English,Austria,lorem ipsum dolor sit
115,Rapunzel,sed ante vivamus,Georgie Sawfoot,2012,Novel,English,Netherlands,
116,Gingerbread Man,amet consectetuer,Chadwick Darling,1997,Short story,English,Germany,fusce congue diam id ornare
117,The Fox and the Grapes,suspendisse potenti,Zabrina Perulli,1997,Novel,English,Germany,elit proin risus praesent lectus vestibulum quam
118,The Fox and the Grapes,aliquet ultrices erat tortor,Perla Favey,2001,Short story,English,Netherlands,quam suspendisse potenti
119,Henny Penny,congue vivamus metus,Hardy Divis,1999,Novel,English,Denmark,convallis morbi odio odio elementum eu interdum eu tincidunt
120,Gingerbread Man,quisque id justo,Hastie Samper,2001,Novel,English,Germany,dolor vel est donec odio justo sollicitudin
121,The Bremen Town Musicians,feugiat non,Carter Crayden,1987,Novel,English,Germany,
122,The Town Mouse and the Country Mouse,vestibulum ac est,Wynn Blas,2002,Short story,English,Denmark,et magnis dis parturient montes nascetur ridiculus mus etiam
123,Little Red Riding Hood,in felis eu sapien,Derick Witham,1995,Novel,English,Austria,luctus et ultrices posuere cubilia curae
124,Fractured Fairy Tales,nulla suspendisse potenti cras in,Arnuad Gallamore,2010,Novel,English,Germany,velit nec nisi vulputate nonummy maecenas tincidunt
125,Belling the Cat,vulputate ut ultrices vel augue,Jessika Boot,1995,Novel,English,Germany,mauris laoreet ut rhoncus aliquet
126,The Fisherman and his Wife,nulla sed,Alvan Duffyn,1986,Short story,English,Germany,
127,Aesops Fables,parturient montes nascetur ridiculus,Sim Inglese,1995,Novel,English,Denmark,nunc nisl duis bibendum felis sed interdum venenatis turpis enim
128,Cinderella,non mattis pulvinar nulla pede ullamcorper,Lexy Piggott,1989,Short story,English,Germany,magna ac consequat metus sapien ut nunc
129,Trickster Tales,nisl nunc rhoncus,Tiphanie Doble,2007,Short story,English,Denmark,ante ipsum primis in faucibus orci luctus et ultrices posuere
130,The Lion and the Mouse,vivamus in felis eu sapien,Lucita Crollman,2011,Novel,English,Germany,accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam
131,The Fisherman and his Wife,odio donec,Mabel De la Yglesia,1968,Novel,English,Germany,ante vestibulum ante ipsum primis in
132,Trickster Tales,aliquet ultrices erat,Eadith Grice,1992,Novel,English,Germany,sed ante vivamus tortor duis mattis egestas metus aenean fermentum donec
133,The Town Mouse and the Country Mouse,lectus in quam fringilla rhoncus mauris,Cristiano Imlock,2005,Novel,English,Germany,dapibus duis at velit
134,Stone Soup,sapien placerat ante nulla justo aliquam,Sayre Goutcher,1994,Novel,English,Austria,nascetur ridiculus mus
135,Rapunzel,enim leo rhoncus sed,Aurelea Marzello,1994,Short story,English,Austria,enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus
136,The Princess and the Pea,turpis nec euismod scelerisque quam,Jena Petrushkevich,1964,Novel,English,Denmark,nullam sit amet
137,Trickster Tales,cum sociis natoque penatibus et magnis,Drugi Anstead,2000,Short story,English,Germany,elementum nullam varius nulla facilisi cras non velit nec nisi
138,Sleeping Beauty,et ultrices posuere cubilia curae,Consalve Gerriet,2006,Short story,English,Austria,ornare consequat lectus in
139,The Town Mouse and the Country Mouse,in libero ut massa volutpat,Arlinda Regorz,2012,Short story,English,Austria,
140,Chicken Little,at feugiat non pretium quis lectus,Nariko Major,2004,Novel,English,Germany,
141,Tom Thumb,interdum mauris,Morris Crocken,2006,Novel,English,Germany,ac est lacinia nisi venenatis tristique fusce congue diam id ornare
142,Belling the Cat,odio cras mi pede malesuada,Ofella Canter,2010,Short story,English,Denmark,quisque erat eros viverra eget congue eget semper rutrum
143,The Princess and the Pea,aliquam lacus morbi quis tortor,Kenneth Giddy,1996,Short story,English,Denmark,integer aliquet massa id lobortis
144,The Princess and the Pea,ac lobortis,Lani Sturge,1997,Short story,English,Denmark,
145,Gingerbread Man,sapien varius ut,Risa Mougenel,1984,Short story,English,Austria,
146,Fractured Fairy Tales,blandit ultrices enim lorem ipsum,Carilyn Minigo,2003,Novel,English,Germany,
147,Puss in Boots,morbi a ipsum integer,Lisetta Mawson,2008,Novel,English,Austria,in magna bibendum imperdiet
148,Little Red Riding Hood,consequat varius,Mathe Kinworthy,2002,Short story,English,Austria,
149,Gingerbread Man,morbi ut odio cras mi,Nomi Meekings,2000,Short story,English,Austria,scelerisque mauris sit amet eros suspendisse accumsan tortor quis turpis
150,Trickster Tales,morbi non quam nec dui,Igor Taffley,2010,Novel,English,Denmark,neque sapien placerat ante nulla justo aliquam quis turpis eget elit
151,Cinderella,quis orci nullam molestie,Dag MacShirie,2012,Novel,English,Austria,mus etiam vel
152,The Princess and the Pea,dui luctus,Zaria McGilbon,1987,Novel,English,Austria,
153,Rapunzel,felis donec semper,Desmond Ambrosini,2003,Short story,English,Germany,maecenas pulvinar lobortis est phasellus sit
154,Little Red Riding Hood,hendrerit at vulputate,Cordula Hansley,2008,Short story,English,Denmark,sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum
155,Ghost Stories,dui proin,Annalise Lias,2013,Short story,English,Austria,ultrices erat tortor sollicitudin mi sit amet
156,The Ugly Duckling,adipiscing lorem vitae,Reuven Sinson,2008,Short story,English,Denmark,felis ut at dolor quis odio consequat
157,Goldilocks and the Three Bears,convallis duis consequat,Elka Fortin,1986,Novel,English,Slovenia,ante ipsum primis in faucibus orci
158,Tom Thumb,sapien sapien non,Dewitt Paunsford,2003,Short story,English,Germany,leo maecenas pulvinar lobortis est
159,The Town Mouse and the Country Mouse,mauris laoreet ut rhoncus aliquet,Laurie Damiral,2000,Novel,English,Slovenia,quis orci eget orci vehicula condimentum curabitur
160,Tom Thumb,viverra dapibus nulla suscipit ligula in,Bentlee Esmond,1997,Short story,English,Slovenia,amet lobortis sapien
161,The Bremen Town Musicians,ullamcorper purus sit amet nulla,Ariella Stickins,2012,Novel,English,Slovenia,vehicula condimentum curabitur
162,The Grasshopper and the Ants,fusce posuere felis,Fee Janouch,2006,Novel,English,Slovenia,tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero
163,Belling the Cat,natoque penatibus et magnis dis,Dora McClancy,1987,Short story,English,Germany,laoreet ut rhoncus aliquet
164,The Fox and the Grapes,ut rhoncus aliquet pulvinar,Bertie Battlestone,1990,Novel,English,Slovenia,quam sapien
165,The Grasshopper and the Ants,blandit non interdum in ante,Fabien Cready,1993,Short story,English,Germany,nibh in quis justo maecenas rhoncus aliquam lacus morbi quis tortor id
166,The Grasshopper and the Ants,gravida sem praesent id massa id,Angele Savins,2003,Novel,English,Slovenia,
167,The Little Red Hen,sapien a libero nam,Elvira Wistance,2003,Short story,English,Slovenia,magna ac consequat metus sapien ut
168,Goldilocks and the Three Bears,accumsan odio curabitur convallis,Lenka Mandrake,1996,Short story,English,Denmark,aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend
169,Aesops Fables,vel nulla eget eros elementum,Iago Loudon,1983,Novel,English,Slovenia,amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
170,Belling the Cat,dolor sit amet,Christiana Swalteridge,2007,Novel,English,Denmark,lectus vestibulum quam sapien varius ut blandit non interdum in ante vestibulum
171,Brer Rabbit,vitae mattis nibh ligula nec sem,Michele Crichley,2002,Novel,English,Germany,mauris eget massa tempor convallis nulla neque libero
172,Ghost Stories,pharetra magna vestibulum aliquet ultrices erat,Daryl Metts,1998,Short story,English,Germany,
173,Goldilocks and the Three Bears,fermentum justo nec condimentum,Herman Grishinov,1996,Novel,English,Germany,vel sem sed
174,Fractured Fairy Tales,volutpat sapien arcu sed,Carmelle Meece,2010,Novel,English,Germany,
175,Hansel and Gretel,metus vitae ipsum aliquam non,Livvy Bemand,2007,Novel,English,Slovenia,non lectus aliquam sit amet diam in magna
176,The Princess and the Pea,interdum eu tincidunt in,Morlee Greaves,1999,Short story,English,Germany,vestibulum ante
177,Snow White,interdum eu tincidunt,Tiler Giacaponi,1989,Novel,English,Denmark,mauris eget massa
178,Jack and the Beanstalk,nulla mollis,Saundra Boecke,2006,Short story,English,Germany,pellentesque ultrices
179,The Fox and the Grapes,cubilia curae mauris viverra,Miltie Tull,1993,Novel,English,Slovenia,nullam sit amet
180,Belling the Cat,cursus vestibulum proin eu mi,Tibold McKew,2007,Short story,English,Germany,interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
181,Brer Rabbit,pellentesque quisque porta volutpat erat,Adrianna Nurcombe,1993,Novel,English,Slovenia,sit amet eros suspendisse accumsan tortor quis turpis sed ante vivamus
182,Goldilocks and the Three Bears,tincidunt eu felis fusce posuere,Deanne Abbay,1989,Short story,English,Slovenia,
183,Rapunzel,ultrices posuere cubilia curae nulla dapibus,Harry Barnewelle,2012,Short story,English,Denmark,elit sodales scelerisque mauris sit
184,Hansel and Gretel,vestibulum sagittis,Jessica Dowry,2010,Novel,English,Denmark,eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget
185,Jack and the Beanstalk,pellentesque quisque porta,Ase Itzkovici,2005,Novel,English,Slovenia,blandit nam nulla integer pede
186,Tom Thumb,convallis nulla,Stepha Tice,2006,Novel,English,Slovenia,nulla mollis molestie lorem quisque ut erat
187,Fractured Fairy Tales,etiam vel augue vestibulum,Alika Gernier,1994,Short story,English,Germany,massa quis augue luctus tincidunt nulla
188,Puss in Boots,lectus in quam fringilla rhoncus mauris,Raynor Rappaport,2012,Novel,English,Slovenia,pulvinar nulla pede ullamcorper augue
189,Tom Thumb,consequat ut,Gertrud Kensington,1995,Short story,English,Slovenia,
190,Trickster Tales,nisl duis bibendum felis,Laney Dumbare,1984,Short story,English,Germany,
191,Ghost Stories,eget vulputate,Bary McEwan,2002,Short story,English,Slovenia,sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl
192,Trickster Tales,in lectus,Barty Tear,1999,Short story,English,Denmark,donec quis orci eget orci vehicula condimentum
193,Tom Thumb,rutrum nulla,Meta Hynson,2006,Short story,English,Slovenia,morbi vel lectus in quam fringilla
194,The Ugly Duckling,scelerisque quam,Cristie Brazear,2009,Novel,English,Denmark,dignissim vestibulum vestibulum
195,Tom Thumb,leo odio condimentum,Francois Jemison,2006,Novel,English,Slovenia,amet nunc viverra dapibus nulla suscipit ligula in lacus
196,Belling the Cat,libero convallis,Rockey Brizell,1995,Novel,English,Slovenia,in felis eu
197,Aesops Fables,eros suspendisse accumsan tortor quis turpis,Tabbie Standbrooke,2008,Novel,English,Germany,sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu
198,Belling the Cat,fusce congue diam id ornare imperdiet,Leonore McClements,2005,Novel,English,Slovenia,porttitor lorem id ligula
199,Rapunzel,cum sociis,Derrick MacMarcuis,2007,Short story,English,Slovenia,odio curabitur convallis
200,Puss in Boots,interdum mauris non ligula pellentesque ultrices,Estrellita Plumridge,2000,Short story,English,Slovenia,platea dictumst maecenas ut
201,Snow White,non interdum,Yvette Zanutti,2003,Short story,English,Denmark,condimentum curabitur
202,The Teeny Tiny Woman,maecenas tincidunt lacus,Sylas Joe,1991,Novel,English,Germany,
203,Goldilocks and the Three Bears,odio elementum eu,Drud Stegers,1992,Novel,English,Slovenia,blandit ultrices enim lorem ipsum
204,The Princess and the Pea,primis in faucibus orci luctus et,Aridatha Fenelon,1993,Novel,English,Slovenia,in consequat
205,Goldilocks and the Three Bears,pretium iaculis justo in hac,Teddy Ollive,2012,Novel,English,USA,eros viverra eget congue eget semper
206,The Little Red Hen,amet justo morbi,Andria Hopfner,2008,Novel,English,USA,consequat in consequat ut nulla sed accumsan felis ut
207,Stone Soup,justo morbi ut,Krista Murricanes,2012,Short story,English,Slovenia,vel dapibus at diam nam tristique tortor eu
208,Hansel and Gretel,donec dapibus duis at velit,Aldridge Minett,1997,Novel,English,Germany,pretium iaculis
209,Trickster Tales,cursus vestibulum,Darlene Annear,2000,Short story,English,Slovenia,volutpat eleifend donec ut dolor morbi vel lectus in quam
210,Fractured Fairy Tales,quam turpis adipiscing lorem,Reinaldo MacDermid,2008,Short story,English,Slovenia,nulla neque
211,The Bremen Town Musicians,molestie nibh in,Sigismond Dyneley,2013,Short story,English,Germany,augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere
212,Snow White,duis bibendum morbi non,Lothaire Kleinmann,2009,Short story,English,Slovenia,
213,The Lion and the Mouse,porttitor lacus at,Cicely Armand,2010,Novel,English,Germany,volutpat convallis
214,The Teeny Tiny Woman,consequat in consequat ut nulla sed,Noemi Hissie,2011,Short story,English,Germany,augue luctus tincidunt nulla
215,Gingerbread Man,odio justo sollicitudin,Theobald MacCambridge,1985,Short story,English,USA,porttitor lorem
216,Stone Soup,at nunc commodo,Pippy Butner,2012,Novel,English,USA,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales
217,Jack and the Beanstalk,orci eget orci,Gussy McLagan,1998,Novel,English,USA,in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis
218,Little Red Riding Hood,vitae nisl aenean,Audrye McTerry,1987,Short story,English,USA,nulla quisque arcu libero rutrum ac lobortis vel
219,Hans in Luck,odio elementum,Penn Ferronier,1988,Short story,English,Slovenia,morbi a ipsum integer
220,The Fisherman and his Wife,aenean fermentum donec ut mauris eget,Ryley Segeswoeth,1987,Novel,English,Germany,dui vel
221,Hansel and Gretel,suspendisse potenti cras in purus eu,Von McNicol,1989,Short story,English,Slovenia,
222,Goldilocks and the Three Bears,quis libero nullam sit amet,Craig Braysher,2005,Novel,English,Slovenia,
223,Seven Swabians,lectus aliquam sit,Dara Strotton,2009,Short story,English,Slovenia,
